city;trash
Álvares Machado;31.2
Caiabu;1.4
Martinópolis;22.8
Paraguaçu Paulista;35.6
Presidente Bernardes;14.8
Presidente Prudente;306.8
Rancharia;22.7
Regente Feijó;16.1
Santo Anastácio;19.6
Santo Expedito;2.1
Adamantina;41.2
Alfredo Marcondes;4.9
Anhumas;4.9
Bastos;24.6
Borá;1.0
Emilianópolis;3.8
Iacri;7.4
Iepê;9.6
Indiana;5.7
Inúbia Paulista;4.7
João RamaLho;5.3
Lucélia;25.7
Mariápolis;4.8
Nantes;3.7
Narandiba;5.8
Osvaldo Cruz;38.7
Parapuã;12.9
Pirapozinho;32.6
Pracinha;4.9
Quatá;16.7
Sagres;2.9
Taciba;7.4
Tarabai;8.9
