city;trash
Abaeté;20.937
Araújos;8.571
Bambuí;21.568
Biquinhas;2.234
Bom Despacho;46.283
Camacho;2.555
Carmo da Mata;10.391
Carmo do Cajuru;20.610
Cedro do Abaeté;1.035
Cláudio;26.184
Conceição do Pará;5.002
Córrego Danta;2.851
Divinópolis;218.255
Dores do Indaiá;12.036
Estrela do Indaiá;3.135
Florestal;6.842
Igaratinga;10.031
Iguatama;7.111
Itapecerica;19.584
Leandro Ferreira;2.900
Luz;16.467
Maravilhas;7.302
Martinho Campos;11.967
Medeiros;3.475
Moema;6.830
Morada Nova de Minas;8.060
Nova Serrana;97.417
Onça de Pitangui;2.840
Paineiras;3.996
Papagaios;14.330
Pará de Minas;86.054
Pedra do Indaiá;3.579
Pequi;4.011
Perdigão;10.795
Pitangui;25.590
Pompéu;29.023
Quartel Geral;3.243
São Gonçalo do Pará;11.498
São José da Varginha;4.636
São Sebastião do Oeste;6.253
Serra da Saudade;0.694
Tapiraí;1.682
