0,119,148,54.3,82.8,203,201,165,35.3,204,103,119,152,45.4,76,152,147,140,182,130,86.6,110,31.4,186,109,83.9,119,104,36.1,99.2,129,152,126,132,88.8,59.2,21.3,134,140,173,84.3,134
119,0,127,172,36.9,113,99.8,65.2,153,102,52.5,106,51.2,114,124,104,67.1,117,92.2,47.7,79.2,116,87.4,170,36,202,26.2,67.4,154,105,74.5,43.5,110,10.5,64.9,117,134,53.6,96.7,72.2,132,122
148,127,0,204,99.5,161,179,168,158,181,150,31.1,154,88.4,99.3,215,178,37.8,140,139,48.3,227,160,37.7,87.5,234,127,179,173,216,186,120,221,141,176,194,129,165,208,147,108,24
54.3,172,204,0,136,257,254,218,85.6,257,156,175,206,102,132,206,201,235,235,184,143,164,84.8,242,163,29.6,179,157,18.2,153,182,206,180,197,142,113,77.2,187,194,227,140,191
82.8,36.9,99.5,136,0,121,129,92.2,117,131,59.7,83.4,79.9,91.1,101,111,74.3,105,99.5,48.5,51.3,123,51.5,151,26.9,166,36.7,74.7,118,112,81.7,69.8,117,46.6,72.2,81.4,97.9,60.8,104,101,109,99.1
203,113,161,257,121,0,61.2,97.3,237,63.8,130,186,84.5,195,205,169,117,123,21.2,146,162,193,172,199,127,286,124,145,238,182,152,51.1,188,119,142,202,218,109,174,76.1,213,179
201,99.8,179,254,129,61.2,0,66.8,235,28.2,100,203,54.7,211,220,139,87,141,40.2,116,171,164,172,216,144,284,93.8,115,236,152,122,68.2,158,89.3,113,200,216,78.9,143,45,228,196
165,65.2,168,218,92.2,97.3,66.8,0,199,48.5,64.4,167,14.9,174,184,82.9,39.4,130,76.1,79.4,135,115,136,205,110,248,57.4,79.3,200,116,65,57.3,100,54.6,76.7,164,180,31.3,87.2,40.6,192,182
35.3,153,158,85.6,117,237,235,199,0,238,137,142,186,69,99.7,186,181,203,216,164,110,145,65.5,209,144,115,153,138,67.4,133,163,186,160,166,123,93.2,44.7,168,175,207,50.2,158
204,102,181,257,131,63.8,28.2,48.5,238,0,103,205,57.2,213,223,141,89.6,144,42.6,118,174,166,174,219,147,287,96.3,118,239,155,125,70.8,160,91.8,115,202,219,79.9,146,47.5,231,198
103,52.5,150,156,59.7,130,100,64.4,137,103,0,134,51.8,142,151,65.7,46.5,155,109,17.2,102,65.7,73.9,201,78.1,186,25,17.4,138,54.5,42.1,90.5,73.1,42.6,14.9,102,118,33.1,54.6,72.8,160,150
119,106,31.1,175,83.4,186,203,167,142,205,134,0,154,72.3,83.2,185,149,62.1,165,123,33.9,197,135,47.4,71.4,204,111,149,157,186,156,143,192,117,147,165,99.5,171,178,171,91.4,17.3
152,51.2,154,206,79.9,84.5,54.7,14.9,186,57.2,51.8,154,0,162,172,85.7,33.7,116,63.3,67.1,122,115,123,191,97.7,235,45.1,66.7,188,104,67.9,44.7,109,40.6,64.1,151,168,25.5,90.1,27,180,170
45.4,114,88.4,102,91.1,195,211,174,69,213,142,72.3,162,0,31.3,192,157,95.7,174,131,41.9,164,70.9,141,79.1,131,119,143,83.4,153,164,151,180,125,128,98.6,26.4,143,186,183,39.5,89.6
76,124,99.3,132,101,205,220,184,99.7,223,151,83.2,172,31.3,0,203,166,105,184,140,51.4,195,102,151,88.7,162,128,166,114,183,173,160,209,134,159,129,57,153,196,193,16.8,99.1
152,104,215,206,111,169,139,82.9,186,141,65.7,185,85.7,192,203,0,44.6,201,148,83.1,153,72.5,123,252,129,235,76,53.9,187,83.1,25.5,129,57.9,93.4,64.5,125,167,72,44.9,111,211,201
147,67.1,178,201,74.3,117,87,39.4,181,89.6,46.5,149,33.7,157,166,44.6,0,150,95.7,61.1,117,72,118,216,91.6,230,39.5,38.2,182,82.7,22.2,77.1,57.5,56.2,59.1,146,162,34.7,44.5,59.4,174,165
140,117,37.8,235,105,123,141,130,203,144,155,62.1,116,95.7,105,201,150,0,103,144,94.6,227,156,75.4,78.9,265,132,170,217,207,177,83.8,213,127,168,186,121,142,200,109,113,55.1
182,92.2,140,235,99.5,21.2,40.2,76.1,216,42.6,109,165,63.3,174,184,148,95.7,103,0,124,141,172,151,178,106,265,102,124,217,161,131,30,166,93.5,121,181,197,87.6,153,55,192,158
130,47.7,139,184,48.5,146,116,79.4,164,118,17.2,123,67.1,131,140,83.1,61.1,144,124,0,90.9,82.8,91,190,58.7,203,23.8,34.5,155,71.6,59.2,106,90.2,37.5,24.4,119,146,48,77.2,88.1,148,139
86.6,79.2,48.3,143,51.3,162,171,135,110,174,102,33.9,122,41.9,51.4,153,117,94.6,141,90.9,0,165,103,101,39.3,172,79.1,117,124,154,124,111,159,84.7,115,133,67.6,103,146,143,59.3,49.5
110,116,227,164,123,193,164,115,145,166,65.7,197,115,164,195,72.5,72,227,172,82.8,165,0,81.4,265,141,207,88.3,66.6,160,11.2,49.9,154,16.6,106,51.4,53.8,126,92.7,30.6,136,203,213
31.4,87.4,160,84.8,51.5,172,172,136,65.5,174,73.9,135,123,70.9,102,123,118,156,151,91,103,81.4,0,202,78.2,115,87.3,74.8,66.7,70.1,99.5,121,97.3,101,59.7,30.1,46.6,105,117,144,110,151
186,170,37.7,242,151,199,216,205,209,219,201,47.4,191,141,151,252,216,75.4,178,190,101,265,202,0,129,272,178,216,224,253,223,158,259,181,214,232,167,203,246,185,159,30.2
109,36,87.5,163,26.9,127,144,110,144,147,78.1,71.4,97.7,79.1,88.7,129,91.6,78.9,106,58.7,39.3,141,78.2,129,0,192,54.4,92.5,145,130,99.5,62.4,135,46.3,89.9,108,105,78.6,122,113,96.9,87.2
83.9,202,234,29.6,166,286,284,248,115,287,186,204,235,131,162,235,230,265,265,203,172,207,115,272,192,0,209,187,47.8,196,212,235,223,219,172,142,107,217,223,256,170,220
119,26.2,127,179,36.7,124,93.8,57.4,153,96.3,25,111,45.1,119,128,76,39.5,132,102,23.8,79.1,88.3,87.3,178,54.4,209,0,39.9,161,77,47,83.8,82.3,15.8,37.4,117,141,26.1,69.2,66.1,137,127
104,67.4,179,157,74.7,145,115,79.3,138,118,17.4,149,66.7,143,166,53.9,38.2,170,124,34.5,117,66.6,74.8,216,92.5,187,39.9,0,139,55.5,30,105,38.3,57.5,15.9,97.8,119,48,42.5,87.7,175,165
36.1,154,173,18.2,118,238,236,200,67.4,239,138,157,188,83.4,114,187,182,217,217,155,124,160,66.7,224,145,47.8,161,139,0,148,164,188,176,171,124,94.4,59,169,182,209,122,172
99.2,105,216,153,112,182,152,116,133,155,54.5,186,104,153,183,83.1,82.7,207,161,71.6,154,11.2,70.1,253,130,196,77,55.5,148,0,60.5,142,27.2,94.6,40.2,42.5,114,85.1,42.1,125,192,202
129,74.5,186,182,81.7,152,122,65,163,125,42.1,156,67.9,164,173,25.5,22.2,177,131,59.2,124,49.9,99.5,223,99.5,212,47,30,164,60.5,0,112,35.3,64.2,40.7,103,144,42.8,22.3,94.8,182,172
152,43.5,120,206,69.8,51.1,68.2,57.3,186,70.8,90.5,143,44.7,151,160,129,77.1,83.8,30,106,111,154,121,158,62.4,235,83.8,105,188,142,112,0,148,53.4,103,151,167,68.9,135,36.3,162,139
126,110,221,180,117,188,158,100,160,160,73.1,192,109,180,209,57.9,57.5,213,166,90.2,159,16.6,97.3,259,135,223,82.3,38.3,176,27.2,35.3,148,0,99.6,67.3,69.7,142,78.2,16.1,130,217,207
132,10.5,141,197,46.6,119,89.3,54.6,166,91.8,42.6,117,40.6,125,134,93.4,56.2,127,93.5,37.5,84.7,106,101,181,46.3,219,15.8,57.5,171,94.6,64.2,53.4,99.6,0,54.6,131,158,43.2,86.4,57.2,142,133
